time,tvlusd,tvleth,dai,token
2020-45,1405094058,,361931907.793832,compound
2020-45,1348266076,3012279.2645054627,335981657.165128,compound
2020-45,1322857944,2982836.014340797,322611132.006188,compound
2020-45,1295676964,2865464.23690205,292385384.772726,compound
2020-45,1245045158,2855411.687269225,290985138.783612,compound
2020-44,1299120203,2852576.0902024508,301765105.244804,compound
2020-44,1230560550,2977835.0353305587,287332017.55084497,compound
2020-44,1129359340,2828702.1665623044,282546516.639489,compound
2020-44,1109049079,2879151.295430945,290859846.357817,compound
2020-44,1076988528,2806631.0374482055,286935105.72109103,compound
2020-44,1071711882,2727002.244274809,281010428.041839,compound
2020-44,1054759593,2736578.8677580883,272570834.441538,compound
2020-43,1047237167,2748726.1266699918,274541389.506358,compound
2020-43,1049587190,2727688.32350113,277302689.05595297,compound
2020-43,1076188599,2773467.5128211738,305343558.687285,compound
2020-43,1077350314,2685319.82552343,327946866.800858,compound
2020-43,1063525434,2704382.4289274267,336168410.994475,compound
2020-43,1080967791,2661957.7201536642,339092605.34389704,compound
2020-43,1091804694,2667622.8840891323,342269764.26376003,compound
2020-42,1049966929,2571242.6325456104,345740917.102094,compound
2020-42,992911648,2405600.600847971,320335314.4260549,compound
2020-42,940875347,2418391.8442359595,306593686.528522,compound
2020-42,900756252,2454644.244604316,300572938.702749,compound
2020-42,897279261,2376395.097727634,291367603.19873,compound
2020-42,871714472,2314081.422882931,297693404.38068503,compound
2020-42,859383451,2331922.641304643,296765349.77826697,compound
2020-41,858174386,2348846.0313115832,295774776.262623,compound
2020-41,878222555,2350010.8506596023,295222450.88870496,compound
2020-41,861563715,2284103.168080594,297007071.291451,compound
2020-41,857293761,2256273.71565428,294918615.588629,compound
2020-41,846216521,2200765.964474266,278612806.96001,compound
2020-41,831133853,2224960.120465801,277561881.408581,compound
2020-41,825401893,2230454.231746204,271050787.488883,compound
2020-40,818467324,2242253.3669387973,271523957.85884404,compound
2020-40,826030824,2352492.877281918,270174599.78947,compound
2020-40,781794304,2290838.057842764,264675128.549234,compound
2020-40,770342163,2255958.5410138518,268944513.825165,compound
2020-40,764063446,2169217.4034011867,254496587.246806,compound
2020-40,774968270,2196559.819733001,256798245.832632,compound
2020-40,768555240,2212752.2529007006,254815807.33390296,compound
2020-39,767384480,2211801.354662055,252902811.06057402,compound
2020-39,789256487,2227713.136131417,258171741.60833105,compound
2020-39,818925204,2267109.2519794027,282162759.143482,compound
2020-39,829824763,2303213.419745205,281099482.20203805,compound
2020-39,814965363,2294255.286864478,279787249.83900696,compound
2020-39,868662020,2425684.901287314,282071225.69618005,compound
2020-39,808543207,2270232.2251860173,285580768.694035,compound
2020-38,816448833,2300698.376870403,289843542.31016296,compound
2020-38,751895816,2145086.773935867,287319970.924421,compound
2020-38,706736061,2168567.2322798404,269418189.68760496,compound
2020-38,719899204,2077991.0056575453,241045976.639041,compound
2020-38,699439023,2043589.7358733132,230878087.832578,compound
2020-38,714435431,1919596.515127089,209808504.648255,compound
2020-38,701714272,1819468.1255996057,180622223.623072,compound
2020-37,686610905,1782155.1249772888,161532401.375586,compound
2020-37,656884425,1687824.5201572496,143112469.375334,compound
2020-37,658848886,1803237.5017105944,143112469.375334,compound
2020-37,669096146,1832788.63231709,142645420.507002,compound
2020-37,670148628,1771239.9312805603,142645420.507002,compound
2020-37,640706231,1734685.883308515,111198637.858464,compound
2020-37,644814809,1651550.3649821992,111198637.858464,compound
2020-36,629849206,1673128.452649754,113342868.380802,compound
2020-36,614696306,1657712.3216741728,113342868.380802,compound
2020-36,601608023,1699553.7120741284,140375516.911027,compound
2020-36,589070930,1739108.7919225318,140375516.911027,compound
2020-36,609393224,1725837.507788162,138515730.60759202,compound
2020-36,609579663,1714421.371920351,138515730.60759202,compound
2020-36,624970502,1849517.628954456,133232393.963328,compound
2020-35,646469448,1663543.0071279688,133232393.963328,compound
2020-35,655979263,1690886.101301714,136425938.36805502,compound
2020-35,730576231,1657424.6942988725,136425938.36805502,compound
2020-35,778292032,1644221.045737826,146067271.37356398,compound
2020-35,766735386,1766549.2846116628,146067271.37356398,compound
2020-35,784803313,1830914.7839678985,130007635.12401,compound
2020-35,792284738,1973311.9252801992,141582833.889151,compound
2020-34,801701066,2019652.515430155,134069449.056401,compound
2020-34,758119048,1972419.211156208,144895832.74028,compound
2020-34,798326845,2054366.5594441583,150008288.86789802,compound
2020-34,790522868,2047562.3394115209,168358160.895734,compound
2020-34,821373287,2009525.094191907,167778278.204082,compound
2020-34,793142580,2025803.4838577847,176794696.93660998,compound
2020-34,804180625,2033635.0015172968,189987106.388117,compound
2020-33,781044278,2011445.4751480813,188649197.93925,compound
2020-33,795222000,1911499.4471419645,197984058.384144,compound
2020-33,720683210,1768330.7814992026,206556915.69260705,compound
2020-33,730170103,1720841.137375975,204505488.592236,compound
2020-33,748111988,1735798.9466112903,213883435.191697,compound
2020-33,766876676,1790972.8765267755,207433648.359133,compound
2020-33,742596237,1721363.5535465926,189316646.686199,compound
2020-32,791861598,1817905.8242843042,216737718.439975,compound
2020-32,911615582,2163815.765487776,215610347.335881,compound
2020-32,827500814,2134990.1029438325,213271597.33427492,compound
2020-32,843228008,2221476.389693872,212798614.073844,compound
2020-32,856732327,2167954.6712890333,198914219.798585,compound
2020-32,810652463,2079555.85398389,195794879.52651292,compound
2020-32,812632736,2064248.5736784616,207033583.211741,compound
2020-31,777264935,2048992.8164707124,202948547.88126892,compound
2020-31,799813083,2032406.8889284169,196013155.527914,compound
2020-31,823322936,2062638.881651468,201019437.143334,compound
2020-31,816928141,2100774.400185152,247468472.123027,compound
2020-31,810050939,2095483.1957989496,255621916.03128,compound
2020-31,751839481,2023358.310458044,254608278.61091495,compound
2020-31,762798800,1971922.5499573457,252137757.553246,compound
2020-30,698263732,2015365.6362744246,213350711.276881,compound
2020-30,738807260,2208361.2613959047,213804250.055046,compound
2020-30,773225338,2427328.0113012083,212832819.667809,compound
2020-30,790473582,2500628.205371548,201428023.041529,compound
2020-30,782608208,2441835.2823712947,217284716.69459897,compound
2020-30,722414009,2330442.9465466626,219157827.41743892,compound
2020-30,587882207,1947984.3831803568,218705691.726583,compound
2020-29,583535177,2098217.16946532,173692900.545153,compound
2020-29,557842795,2032732.554749845,151546577.898983,compound
2020-29,572424967,2179753.120597083,171232362.00916898,compound
2020-29,571497569,2334167.49305669,143362340.85153502,compound
2020-29,579165401,2447867.290786137,153313989.35425597,compound
2020-29,638260228,2680751.934142551,162057077.62421802,compound
2020-29,676549036,2863820.8432102944,149096258.17259303,compound
2020-28,693262631,2990650.235106337,138805088.85659498,compound
2020-28,697836791,2973187.2992203142,86842011.15410501,compound
2020-28,697701897,2922923.7410976123,44730387.40850701,compound
2020-28,702342854,2922531.849201065,30813067.984442,compound
2020-28,690522079,2876815.727200766,29328630.527975,compound
2020-28,698960570,2884690.7552620717,35848809.319901004,compound
2020-28,689408365,2877330.4048414025,43005239.97043,compound
2020-27,677107837,2804688.24869522,63885658.105869,compound
2020-27,661907971,2734591.906630861,87779375.905993,compound
2020-27,664612520,2698824.4944367744,94547419.028839,compound
2020-27,640377888,2674705.0705872527,85211978.320308,compound
2020-27,671759732,2790627.0023263544,85798362.56382701,compound
2020-27,637698403,2782279.2452006983,83691231.445159,compound
2020-27,630538513,2725356.643326417,79462431.800395,compound
2020-26,624301168,2748530.2808840363,75410952.25771199,compound
2020-26,611929653,2690155.4182969183,82150351.242414,compound
2020-26,596220443,2560424.473932835,73312103.13703899,compound
2020-26,564930596,2487804.280429804,70156119.586696,compound
2020-26,639542361,2804764.323304973,69268620.966525,compound
2020-26,635735044,2807768.942672909,63274608.16155501,compound
2020-26,628278253,2817517.615139692,55949341.665379,compound
2020-25,625814924,2707631.7397135813,53509421.143969,compound
2020-25,616459482,2626584.925436728,51680852.260761,compound
2020-25,561693412,2380561.186692096,44915952.69545201,compound
2020-25,592014395,2436172.976420724,24366034.597017,compound
2020-25,577005640,2385700.984040354,509557.682233,compound
2020-25,608713948,2649231.6142229186,509948.429161,compound
2020-25,511267185,2222031.3138337173,12016253.04935,compound
2020-24,433071037,1884146.3432673484,12434399.077579,compound
2020-24,339613547,1469743.1384428958,14258822.1899,compound
2020-24,239736623,1029000.8713194266,15979432.397031002,compound
2020-24,171327814,729147.6103332341,16346272.633907998,compound
2020-24,117245553,507820.3092515593,13158907.136278,compound
2020-24,97743632,420059.4438953114,14076717.267796,compound
2020-24,90402936,380643.9410526316,10901900.376795,compound
2020-23,94967726,398605.3557187828,14156084.884407,compound
2020-23,88227697,382004.2301697264,13885573.346873,compound
2020-23,90656442,369107.29204836936,14191541.658419,compound
2020-23,105314592,431741.0404624277,14405097.263686,compound
2020-23,107129905,435027.63339559815,11390058.58561,compound
2020-23,115044144,472092.182691124,8345389.408884,compound
2020-23,113945596,472626.80326848896,6099123.858616,compound
2020-22,111574820,464546.6733283371,5601293.726094,compound
2020-22,113576532,469033.78897377657,4412296.102833,compound
2020-22,113169459,465948.03606719367,6538586.7497379985,compound
2020-22,100573065,423965.3696990136,5792453.4594129985,compound
2020-22,104850412,429450.79664140893,5965380.361963,compound
2020-22,99786127,430948.5078816671,5849514.919345,compound
2020-22,103937024,427161.86092388624,5579106.7104050005,compound
2020-21,95993270,437287.12645772594,15423489.105227,compound
2020-21,98719571,451433.9262849826,15299840.657682998,compound
2020-21,98531534,474942.3214113564,15666177.378546,compound
2020-21,97622722,480521.37231738534,15448754.578625,compound
2020-21,95576256,462794.18942475296,15080805.825507997,compound
2020-21,95472473,463863.9247886503,4685159.710336,compound
2020-21,102129937,487517.00319824327,6321797.046908001,compound
2020-20,104221619,497810.5607565915,5973818.757711,compound
2020-20,104398696,519215.6761326901,7160889.489306,compound
2020-20,103673626,492815.6391120407,7329768.229956,compound
2020-20,105293235,492622.9765135211,7544330.959429,compound
2020-20,105661660,493308.0909472898,7563524.405347,compound
2020-20,106196467,514144.1152263374,7896058.78025,compound
2020-20,104230628,519050.9835167571,7337341.0427549975,compound
2020-19,99149478,508172.2002972682,7350288.3241420025,compound
2020-19,101848048,502110.2741076711,7671264.492249999,compound
2020-19,104955181,524408.8188268213,10295373.698175,compound
2020-19,98791126,515046.79630884726,7761081.521758,compound
2020-19,97307452,520806.31556411897,7489911.192859,compound
2020-19,95382722,506358.347932261,6885804.538996237,compound
2020-19,100001048,477719.6197391678,5654436.1415728675,compound
2020-18,99843731,473641.9876660341,6319245.917382698,compound
2020-18,97885979,463628.9442523564,6740662.620672495,compound
2020-18,95728547,481701.5397775878,6699044.0683899075,compound
2020-18,97790402,476375.6917381138,6830297.189504728,compound
2020-18,98338238,474926.29189606884,6784670.782678022,compound
2020-18,100463207,477418.6522834196,6911425.257192219,compound
2020-18,101150704,474306.968020257,7914860.577656931,compound
2020-17,102851047,483549.8213446169,7232920.334487735,compound
2020-17,94689596,457946.49127049383,7484174.234938777,compound
2020-17,98461357,458407.5469062806,7471983.8810705375,compound
2020-17,94262169,480341.2607011822,7746957.085569632,compound
2020-17,93936042,478923.43224227603,8179246.524232267,compound
2020-17,79648265,405355.3107028347,8920944.739987746,compound
2020-17,91527389,471207.727553542,8357537.0902572125,compound
2020-16,88760224,473842.7503736922,9051452.236128302,compound
2020-16,89325437,482683.6539500703,8901918.086360497,compound
2020-16,91877843,499607.62914627505,1537848.377982951,compound
2020-16,87691040,505540.4127752796,1677512.9559245538,compound
2020-16,87178845,502645.55465867155,2058758.835589676,compound
2020-16,96207820,527918.2396839332,1904950.673072904,compound
2020-16,99862427,527730.4180098294,1873753.9585336368,compound
2020-15,96939153,561380.3161917998,2018030.0086682963,compound
2020-15,96085205,553613.7646923254,1812865.0287629275,compound
2020-15,93341701,597042.9896379685,1922621.9060636275,compound
2020-15,95500999,591997.2663030003,1769663.5085576968,compound
2020-15,94905908,602768.5487456336,1712396.619268248,compound
2020-15,96345511,604198.6140724947,1275005.3552267696,compound
2020-15,94404382,590876.7728609876,172800.5055361252,compound
2020-14,94186303,594986.1212886922,2072247.301189205,compound
2020-14,99645278,585322.3566729323,1957632.2235890862,compound
2020-14,100381292,579167.3897992154,2748952.716494702,compound
2020-14,99593395,603376.923542954,3189748.857917597,compound
2020-14,100879248,587942.9304114698,3044982.974692905,compound
2020-14,94886774,659668.8959955507,3376833.128686597,compound
2020-14,94736309,653714.5252553135,3792741.3360106936,compound
2020-13,92362584,651679.8419530093,3919667.668866605,compound
2020-13,93656486,660203.6232905681,3899467.939150845,compound
2020-13,93260019,683373.7744559244,4413878.84642816,compound
2020-13,89922260,668616.7001264035,5402869.597567881,compound
2020-13,90244470,678836.0914698361,5875150.289395328,compound
2020-13,86747306,687216.2401964668,7179399.1369046215,compound
2020-13,90663273,684406.0768475882,13401748.51091575,compound
2020-12,90070040,676760.3877075664,14768126.065568438,compound
2020-12,91994898,656028.6529273337,14484682.297076745,compound
2020-12,82492856,600515.8040329039,13828366.73773882,compound
2020-12,83238770,594987.6340243029,13255388.759223225,compound
2020-12,81105314,590028.4737378146,12676074.061579635,compound
2020-12,76088831,613273.4021117112,12247378.930796502,compound
2020-12,111116264,831833.0887857463,11526500.128486704,compound
2020-11,80262584,599063.9199880579,11660145.793827634,compound
2020-11,81862899,595539.7861195984,11649863.750434738,compound
2020-11,78304719,653683.2707237665,11670708.525906948,compound
2020-11,71583930,613769.4418245734,11998532.84322071,compound
2020-11,71160453,634059.1018444266,5275397.920148997,compound
2020-11,77139537,611781.560789912,4966057.309080198,compound
2020-11,87902675,708378.3947135144,5189909.73136613,compound
2020-10,93926849,690790.9759505773,3464322.485971495,compound
2020-10,83366275,762589.416392243,3504925.583554183,compound
2020-10,115859010,588953.8938592924,2081964.6978319415,compound
2020-10,119991847,593695.7448913958,1990721.929488997,compound
2020-10,133493023,654570.0843385309,1882158.683118069,compound
2020-10,137463509,682201.0372208437,1395465.8871387755,compound
2020-10,160312325,666302.2651704074,786637.1394136057,compound
2020-09,164764511,666792.840955079,2141034.633688239,compound
2020-09,162454594,706201.5040862459,1113893.6844432768,compound
2020-09,163424618,718286.8231364277,2050135.5755021928,compound
2020-09,162107032,717986.6772964833,200800.94298866641,compound
2020-09,165627671,706874.1026844778,3774296.5952713406,compound
2020-09,158130713,715102.9394473839,6878790.069370382,compound
2020-09,156887405,705048.5574330395,5815343.46776279,compound
2020-08,160430857,698162.918316724,8885878.891430935,compound
2020-08,160979233,699605.5323772272,8863821.860895583,compound
2020-08,152722117,678252.5069947152,8929154.211408185,compound
2020-08,167623821,674759.7657193464,9006594.579324773,compound
2020-08,176486612,660404.9244125129,8884041.655984318,compound
2020-08,183374572,665920.659476341,8511616.511909684,compound
2020-08,177835848,671408.0416808246,8157501.621997433,compound
2020-07,179005084,670757.6123206054,6050482.363741297,compound
2020-07,174873724,676154.0579205814,7283333.76234585,compound
2020-07,172011426,662244.6523446522,7399343.938922468,compound
2020-07,168465801,596550.2868271957,5711294.344553049,compound
2020-07,154859668,578525.3586371787,8736371.015776249,compound
2020-07,148710302,573750.1523978547,9974578.30643101,compound
2020-07,150570918,568535.4100589035,9773165.213176044,compound
2020-06,161227022,564757.6782962028,9984489.79024348,compound
2020-06,159528791,594879.3340045493,9681387.86440618,compound
2020-06,160000949,602095.8418002558,10446637.139207272,compound
2020-06,148854646,627840.254755578,10347791.906966787,compound
2020-06,141855850,637153.4764642472,10369222.757424338,compound
2020-06,146037016,639951.8667835232,11955977.590570655,compound
2020-06,143571208,643903.700049334,15131006.793327766,compound
2020-05,141769987,636053.6004307058,15192337.816616807,compound
2020-05,136925715,643417.6730416804,15552529.251512427,compound
2020-05,132185806,648828.3806999461,14371585.152836585,compound
2020-05,125063267,661395.457189698,14110922.929740625,compound
2020-05,123872450,653163.4590034273,14243702.983955368,compound
2020-05,122404522,649740.0180476671,14721814.21088947,compound
2020-05,120708174,657846.0624557196,14530896.936472384,compound
2020-04,118217552,657970.4569488508,15649683.56662795,compound
2020-04,121064418,656673.9965285311,16053228.219595535,compound
2020-04,114705030,660134.841160221,15500604.223367367,compound
2020-04,115669615,658710.791571754,13970211.966122055,compound
2020-04,114203421,672180.2295467922,13493519.294772815,compound
2020-04,110514288,657119.086692829,12959964.285309013,compound
2020-04,107675545,664869.0645260883,12040679.026673228,compound
2020-03,108878577,666331.5605875152,12404518.51372186,compound
2020-03,106755630,653819.3900048996,12002698.402978236,compound
2020-03,109174622,645392.6578387326,12346537.973883735,compound
2020-03,108497977,640219.3721602644,12075035.701270185,compound
2020-03,104365142,624230.7673903941,10842763.841252685,compound
2020-03,113502236,678435.3616258218,10634080.696209308,compound
2020-03,119120009,682910.1014733703,9888720.060728602,compound
2020-02,119484547,703595.2596867272,7324208.334355737,compound
2020-02,119525798,726821.514138036,6382824.335897496,compound
2020-02,120362891,724030.8650144369,6541025.7752495725,compound
2020-02,112177380,676378.534820621,5921977.9510267675,compound
2020-02,103271632,715623.5326727184,5023888.312241902,compound
2020-02,104608762,711672.644397578,4738576.684139029,compound
2020-02,102504054,716861.6966221414,4516758.088812819,compound
2020-01,102828901,707700.6262904336,10151711.10279741,compound
2020-01,97924702,707548.4248554913,9520787.249882087,compound
2020-01,99646159,706760.472373927,9746581.60265938,compound
2020-01,107245970,748976.6743487674,9536958.092295146,compound
2020-01,104588579,722496.4009394861,9361077.250536114,compound
2020-01,101296603,742045.2933851002,10208277.05119113,compound
2020-01,100300938,740556.2463083285,10427646.292480726,compound
2020-00,99057259,734029.3367914044,10020080.049456105,compound
2020-00,96663742,750728.036657347,9753838.553108606,compound
2020-00,97042860,730469.4015807301,9281070.216099476,compound
2020-00,95616373,728838.8825367787,9601080.748818005,compound
2019-52,95883417,722340.0406810305,9718336.511028817,compound
2019-52,99096789,728385.071664829,11493822.95657756,compound
2019-52,101103701,781025.1139436077,10998843.745030163,compound
2019-51,97440802,764961.5481237244,10915285.955540974,compound
2019-51,99342276,786308.9757796422,10535079.054665737,compound
2019-51,97407415,771727.2619236255,10190628.902096592,compound
2019-51,98251640,762172.3683189823,10462788.071433786,compound
2019-51,99093142,768998.4634487041,10363045.712044204,compound
2019-51,100441617,755086.5809652683,10114988.054271584,compound
2019-51,99063583,762614.1878367977,9521232.609253854,compound
2019-50,98964332,764557.5710754017,9437380.101672456,compound
2019-50,96368323,746578.2692903625,9431040.69343514,compound
2019-50,98266263,736628.6581709145,9393366.136019947,compound
2019-50,89471133,729007.8464923002,8024457.379739859,compound
2019-50,94497065,704046.0810609447,8188980.859724311,compound
2019-50,98950329,687107.346712034,7940465.197916618,compound
2019-50,98964074,688924.98433693,7843642.2265464915,compound
2019-49,99732003,684220.657244786,7596128.9637958035,compound
2019-49,99477630,681260.3068072866,7575521.049981986,compound
2019-49,98072680,676643.3006761419,7510696.920990272,compound
2019-49,98578819,671060.7147719536,5076871.625816685,compound
2019-49,102144390,689931.7122593718,5042453.253418355,compound
2019-49,97794378,642918.7956084412,5784651.2608519625,compound
2019-49,97456868,653634.2588866532,5806930.736217838,compound
